Date,SPY_return,SPY_volatility,regime,regime_label
2010-02-02,0.01203097651951,0.010618430214321862,2,Neutral
2010-02-03,-0.0049950968039762,0.010605772761513725,2,Neutral
2010-02-04,-0.0313519829775916,0.012479891304751084,2,Neutral
2010-02-05,0.002064126244834,0.012420900837045496,2,Neutral
2010-02-08,-0.0072448879474824,0.012343925755506472,2,Neutral
2010-02-09,0.0124816754452474,0.012835228134927879,2,Neutral
2010-02-10,-0.0019604879463508,0.01276009041203325,2,Neutral
2010-02-11,0.01041183173025,0.012861842161409119,2,Neutral
2010-02-12,-0.0008318752633032,0.012804788646981754,2,Neutral
2010-02-16,0.0156115877592414,0.013301597939738103,2,Neutral
2010-02-17,0.0047272455948482,0.012977804384222833,2,Neutral
2010-02-18,0.0058780790668485,0.01294883712780363,2,Neutral
2010-02-19,0.0020716956358729,0.01224093978360794,2,Neutral
2010-02-22,0.0001796822720917,0.011060516762505359,2,Neutral
2010-02-23,-0.0122187331415607,0.0113859549587028,2,Neutral
2010-02-24,0.0091554222327134,0.011516449741945201,2,Neutral
2010-02-25,-0.0013542901884003,0.011483999638737889,2,Neutral
2010-02-26,0.0006321507554741,0.011136310616174273,2,Neutral
2010-03-01,0.0103310343912877,0.01095203984246485,2,Neutral
2010-03-02,0.0027670051591932,0.01049441811562895,1,Bull
2010-03-03,0.0008908755964334,0.010192848225717154,1,Bull
2010-03-04,0.0030230000046763,0.010107669659796415,1,Bull
2010-03-05,0.0141919449169742,0.0070368518687306805,1,Bull
2010-03-08,0.000174524644395,0.007070321327546427,1,Bull
2010-03-09,0.0016615751954459,0.006628187440179424,1,Bull
2010-03-10,0.0044465167994029,0.006316262971766762,1,Bull
2010-03-11,0.0041657084077025,0.0061852434745482835,1,Bull
2010-03-12,8.71077493021732e-05,0.00603297506489252,1,Bull
2010-03-15,0.0002597808837719,0.0059986606300990244,1,Bull
2010-03-16,0.0079343124998604,0.005386009230133433,1,Bull
2010-03-17,0.0059100832889435,0.005412975640365665,1,Bull
2010-03-18,-0.0005124830558452,0.005423330895707537,1,Bull
2010-03-19,-0.0050747045274825,0.005694828776526231,1,Bull
